"項目名称","No","顧客番号","顧客番号件数","姓","姓件数","カナ姓","カナ姓件数","名","名件数","カナ名","カナ名件数","性別","性別件数","生年月日","生年月日件数","電話番号","電話番号件数","携帯電話番号","携帯電話番号件数","Mailアドレス","Mailアドレス件数","郵便番号","郵便番号件数","住所","住所件数","最終DM名称","最終DM名称件数","総DM発送回数","総DM発送回数件数","DM戻り","DM戻り件数","DM拒否","DM拒否件数","メルマガ拒否","メルマガ拒否件数","削除フラグ","削除フラグ件数","最終更新日時","最終更新日時件数","作成日時","作成日時件数"
"値（５０件）",1,1,,"田中",,"タナカ",,"翔平",,"ショウヘイ",,"男",,19780707,,"0154002144",,"09030704425",,"tanaka1@tokyo.ne.jp",,1540021,,"東京都世田谷区豪徳寺１",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2018/03/29 07:10:01,,2010/03/29 07:10:01,
"値（５０件）",2,3,,"伊藤",,"イトウ",,"あい花",,"アイハナ",,"女",,19930719,,"0701250313",,"09080711328",,"itou1@okayama.or.jp",,7012503,,"岡山県赤磐郡吉井町周匝",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2012/11/12 07:11:38,,2007/11/14 07:11:38,
"値（５０件）",3,5,,"山本",,"ヤマモト",,"翼",,"ツバサ",,"女",,19610820,,"0742151145",,"09060824523",,"yamamoto1@yamaguchi.ac.jp",,7421511,,"山口県熊毛郡田布施町大字下田布施",,"2018年お歳暮",,9,,"N",,"N",,"N",,"N",,2019/01/11 07:05:58,,2010/03/08 07:05:58,
"値（５０件）",4,6,,"小林",,"コバヤシ",,"大介",,"ダイスケ",,"男",,19740701,,"0689033292",,"09090709291",,"kobayashi1@tottori.co.jp",,6890332,,"鳥取県気高郡気高町大字勝見",,"2019年秋インターネット",,5,,"N",,"N",,"N",,"N",,2018/09/21 07:13:20,,2010/01/31 07:13:20,
"値（５０件）",5,7,,"山田",,"ヤマダ",,"裕介",,"ユウスケ",,"男",,19710422,,"0843002485",,"09060428527",,"yamada1@saga.ac.jp",,8430024,,"佐賀県武雄市武雄町大字富岡",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2016/03/01 16:00:39,,2011/03/03 16:00:39,
"値（５０件）",6,8,,"山田",,"ヤマダ",,"あきの",,"アキノ",,"女",,19730523,,"0409253265",,"09080526540",,"yamada2@yamanashi.ac.jp",,4092532,,"山梨県南巨摩郡身延町大野",,"2018年お歳暮",,1,,"N",,"N",,"N",,"N",,2014/01/28 07:03:17,,2008/01/29 07:03:17,
"値（５０件）",7,11,,"松本",,"マツモト",,"直也",,"ナオヤ",,"男",,19730505,,"0759630102",,"09080500223",,"matsumoto1@yamaguchi.co.jp",,7596301,,"山口県豊浦郡豊浦町大字川棚",,"2019年お歳暮",,1,,"N",,"N",,"N",,"N",,2018/06/23 07:15:29,,2010/06/23 07:15:29,
"値（５０件）",8,13,,"斎藤",,"サイトウ",,"あき代",,"アキヨ",,"女",,19691212,,"0719330414",,"09041211405",,"saitou1@okayama.ne.jp",,7193304,,"岡山県苫田郡富村大字大",,"2019年お中元",,2,,"N",,"N",,"N",,"N",,2016/11/05 07:09:18,,2011/11/07 07:09:18,
"値（５０件）",9,14,,"木村",,"キムラ",,"あぐ",,"アグ",,"女",,19680416,,"0589002360",,"09030416063",,"kimura1@osaka.org",,5890023,,"大阪府大阪狭山市大野台５",,"2019年秋インターネット",,8,,"N",,"N",,"N",,"N",,2018/08/18 07:10:30,,2010/08/18 07:10:30,
"値（５０件）",10,15,,"森",,"モリ",,"勇太",,"ユウタ",,"男",,19611105,,"0904221545",,"09061104523",,"mori1@okinawa.ac.jp",,9042215,,"沖縄県具志川市みどり町５",,"2019年お歳暮",,9,,"N",,"N",,"N",,"N",,2019/01/17 07:04:36,,2010/02/18 07:04:36,
"値（５０件）",11,16,,"池田",,"イケダ",,"一輝",,"カズテル",,"女",,19590119,,"0121005665",,"09040116510",,"ikeda1@tokyo.ac.jp",,1210056,,"東京都足立区北加平町",,"2019年秋インターネット",,8,,"N",,"N",,"N",,"N",,2019/01/18 07:05:38,,2010/02/01 07:05:38,
"値（５０件）",12,18,,"橋本",,"ハシモト",,"雄介",,"ユウスケ",,"男",,19580927,,"0860006129",,"09030922949",,"hashimoto1@kumamoto.net",,8600061,,"熊本県熊本市上高橋町",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2013/12/21 07:21:15,,2007/12/22 07:21:15,
"値（５０件）",13,19,,"橋本",,"ハシモト",,"慎也",,"シンヤ",,"男",,19931028,,"0420084113",,"09081021329",,"hashimoto2@shizuoka.or.jp",,4200841,,"静岡県静岡市上足洗１",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2016/12/07 07:06:31,,2011/12/09 07:06:31,
"値（５０件）",14,20,,"山下",,"ヤマシタ",,"勇人",,"ハヤト",,"男",,19620707,,"0752094123",,"09070702338",,"yamashita1@yamaguchi.or.jp",,7520941,,"山口県下関市長府新四王司町",,"2019年秋インターネット",,7,,"N",,"N",,"N",,"N",,2018/03/14 07:23:03,,2010/03/14 07:23:03,
"値（５０件）",15,21,,"藤田",,"フジタ",,"良平",,"リョウヘイ",,"男",,19531123,,"0706001121",,"09081122181",,"hujita1@okayama.com",,7060011,,"岡山県玉野市宇野２",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2013/03/17 07:15:19,,2008/03/17 07:15:19,
"値（５０件）",16,22,,"藤田",,"フジタ",,"あずき",,"アズキ",,"女",,19571224,,"0384041293",,"09021229387",,"hujita2@nagano.or.jp",,3840412,,"長野県南佐久郡臼田町大字田口",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2016/07/09 07:10:47,,2011/07/11 07:10:47,
"値（５０件）",17,24,,"小川",,"オガワ",,"あずま",,"アズマ",,"女",,19560428,,"0164001258",,"09010425826",,"ogawa1@tokyo.lg.jp",,1640012,,"東京都中野区本町６",,"2019年お歳暮",,2,,"N",,"N",,"N",,"N",,2017/12/25 07:13:23,,2012/12/25 07:13:23,
"値（５０件）",18,25,,"小川",,"オガワ",,"あずみ",,"アズミ",,"女",,19460529,,"0740003495",,"09010529510",,"ogawa2@yamaguchi.ac.jp",,7400034,,"山口県岩国市南岩国町３",,"2019年秋インターネット",,4,,"N",,"N",,"N",,"N",,2018/04/04 07:13:55,,2010/04/04 07:13:55,
"値（５０件）",19,27,,"岡田",,"オカダ",,"あつき",,"アツキ",,"女",,19451004,,"0869420286",,"09001008620",,"okada1@kumamoto.go.jp",,8694202,,"熊本県八代郡鏡町大字内田",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2013/02/09 07:12:07,,2008/02/10 07:12:07,
"値（５０件）",20,28,,"長谷川",,"ハセガワ",,"祐貴",,"ユウキ",,"女",,19930511,,"0536000613",,"09080511330",,"hasegawa1@osaka.or.jp",,5360006,,"大阪府大阪市城東区野江１",,"2018年お歳暮",,7,,"N",,"N",,"N",,"N",,2018/12/28 07:11:52,,2010/06/27 07:11:52,
"値（５０件）",21,31,,"長谷川",,"ハセガワ",,"あつ子",,"アツコ",,"女",,19760713,,"0700001199",,"09010719975",,"hasegawa2@okayama.net",,7000011,,"岡山県岡山市学南町１",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2018/04/24 07:04:53,,2010/04/24 07:04:53,
"値（５０件）",22,32,,"石井",,"イシイ",,"慎太郎",,"シンタロウ",,"男",,19691129,,"0655086114",,"09041121405",,"ishii1@hyougo.ne.jp",,6550861,,"兵庫県神戸市垂水区下畑町",,"2019年秋インターネット",,1,,"N",,"N",,"N",,"N",,2017/04/19 07:09:56,,2012/04/19 07:09:56,
"値（５０件）",23,35,,"坂本",,"サカモト",,"啓介",,"ケイスケ",,"男",,19930707,,"0666012213",,"09080701330",,"sakamoto1@hyougo.or.jp",,6660122,,"兵庫県川西市東多田１",,"2019年春インターネット",,1,,"N",,"N",,"N",,"N",,2018/03/24 07:09:32,,2010/03/24 07:09:32,
